"ALB","Albania","Europe","Southern Europe",28748.00,1912,3401200,71.6,3205.00,2500.00,"Shqip�ria","Republic","Rexhep Mejdani",34,"AL";
"AND","Andorra","Europe","Southern Europe",468.00,1278,78000,83.5,1630.00,\N,"Andorra","Parliamentary Coprincipality","",55,"AD";
"AUT","Austria","Europe","Western Europe",83859.00,1918,8091800,77.7,211860.00,206025.00,"�sterreich","Federal Republic","Thomas Klestil",1523,"AT";
"BEL","Belgium","Europe","Western Europe",30518.00,1830,10239000,77.8,249704.00,243948.00,"Belgi�/Belgique","Constitutional Monarchy, Federation","Albert II",179,"BE";
"BGR","Bulgaria","Europe","Eastern Europe",110994.00,1908,8190900,70.9,12178.00,10169.00,"Balgarija","Republic","Petar Stojanov",539,"BG";
"BIH","Bosnia and Herzegovina","Europe","Southern Europe",51197.00,1992,3972000,71.5,2841.00,\N,"Bosna i Hercegovina","Federal Republic","Ante Jelavic",201,"BA";
"BLR","Belarus","Europe","Eastern Europe",207600.00,1991,10236000,68.0,13714.00,\N,"Belarus","Republic","Aljaksandr Luka�enka",3520,"BY";
"CHE","Switzerland","Europe","Western Europe",41284.00,1499,7160400,79.6,264478.00,256092.00,"Schweiz/Suisse/Svizzera/Svizra","Federation","Adolf Ogi",3248,"CH";
"CZE","Czech Republic","Europe","Eastern Europe",78866.00,1993,10278100,74.5,55017.00,52037.00,"�esko","Republic","V�clav Havel",3339,"CZ";
"DEU","Germany","Europe","Western Europe",357022.00,1955,82164700,77.4,2133367.00,2102826.00,"Deutschland","Federal Republic","Johannes Rau",3068,"DE";
"DNK","Denmark","Europe","Nordic Countries",43094.00,800,5330000,76.5,174099.00,169264.00,"Danmark","Constitutional Monarchy","Margrethe II",3315,"DK";
"ESP","Spain","Europe","Southern Europe",505992.00,1492,39441700,78.8,553233.00,532031.00,"Espa�a","Constitutional Monarchy","Juan Carlos I",653,"ES";
"EST","Estonia","Europe","Baltic Countries",45227.00,1991,1439200,69.5,5328.00,3371.00,"Eesti","Republic","Lennart Meri",3791,"EE";
"FIN","Finland","Europe","Nordic Countries",338145.00,1917,5171300,77.4,121914.00,119833.00,"Suomi","Republic","Tarja Halonen",3236,"FI";
"FRA","France","Europe","Western Europe",551500.00,843,59225700,78.8,1424285.00,1392448.00,"France","Republic","Jacques Chirac",2974,"FR";
